WR_mass,N_mass,on_shell_count,off_shell_count,offshell_below99_count
1000,600,13759,6241,6241
1000,200,13669,6331,6331
1000,900,15132,4868,0
1000,800,14606,5394,0
1000,400,13820,6180,6180
1000,700,14018,5982,0
1000,500,13810,6190,6190
1000,300,13668,6332,6332
