WR_mass,N_mass,total_count,offshell_count
6000,1900,20000,933
6000,2600,20000,54
6000,2200,20000,424
6000,3300,20000,0
6000,2400,20000,180
6000,3200,20000,0
6000,700,20000,7389
5500,500,20000,7227
6000,3100,20000,0
6000,3000,20000,0
6000,2100,20000,568
6000,4100,20000,0
6000,4400,20000,0
6000,2700,20000,25
6000,1500,20000,2345
6000,2500,20000,107
6000,4000,20000,0
6000,3900,20000,0
6000,3700,20000,0
6000,2800,20000,4
6000,3600,20000,0
6000,3800,20000,0
6000,3400,20000,0
6000,3500,20000,0
6000,4500,20000,0
6000,4700,20000,0
6000,1200,20000,3824
6000,2900,20000,2
6000,600,20000,8223
6000,4300,20000,0
6000,4600,20000,0
6000,900,20000,5845
6000,4200,20000,0
6000,5100,20000,0
6000,4900,20000,0
6000,5000,20000,0
6000,5500,20000,0
6000,5300,20000,0
6000,1000,20000,4960
6000,800,20000,6672
5500,300,20000,9145
6000,5400,20000,0
6000,5200,20000,0
6500,200,20000,13617
6000,5900,20000,0
6000,5600,20000,0
6000,5700,20000,0
6000,4800,20000,0
6500,1100,20000,5932
6500,1900,20000,1630
6500,1300,20000,4561
6500,1700,20000,2399
6500,1400,20000,3975
6500,1200,20000,5163
6500,1500,20000,3390
6000,5800,20000,0
6500,2000,20000,1304
6500,900,20000,7476
6500,2500,20000,337
6000,500,20000,9160
6500,1800,20000,1971
6500,2100,20000,1054
6500,2700,20000,128
6500,3700,20000,0
6500,2300,20000,637
6500,3900,20000,0
6500,3500,20000,0
6500,1600,20000,2909
6500,4100,20000,0
6500,3100,20000,1
6500,2600,20000,198
6500,4600,20000,0
6500,4300,20000,0
6500,4200,20000,0
6500,3200,20000,0
6500,5300,20000,0
6500,4400,20000,0
6500,2200,20000,766
6500,3800,20000,0
6500,5400,20000,0
6500,5500,20000,0
6500,4900,20000,0
6500,4500,20000,0
6500,4700,20000,0
6500,5200,20000,0
6500,5800,20000,0
6500,3600,20000,0
6500,4800,20000,0
6500,5700,20000,0
6500,2800,20000,68
6500,3300,20000,0
6500,3400,20000,0
6500,5600,20000,0
6500,6000,20000,0
6500,5900,20000,0
6500,6300,20000,0
6500,4000,20000,0
6500,6400,20000,0
6500,3000,20000,17
6500,5100,20000,0
6500,2400,20000,431
6500,2900,20000,48
6500,5000,20000,0
6500,1000,20000,6707
6500,6200,20000,0
6500,6100,20000,0
6500,500,20000,10780
6500,400,20000,11850
6500,600,20000,9919
4500,1800,20000,106
4500,1600,20000,309
6000,200,20000,11993
6000,300,20000,10864
3000,300,20000,1441
6500,800,20000,8102
5000,2700,20000,0
6500,300,20000,12560
6500,700,20000,9015
6000,400,20000,9869
