LO_Filename,LO_CrossSection,LO_Error,NLO_Filename,NLO_CrossSection,NLO_Error,Row_NLO/LO_Ratio
../../../submit_files/condorfiles/LO999/result_WR1500_N1400/WRtoNLtoLLJJ_WR1500_N1400.log,0.01841,0.0001879,../../submit_files/condorfiles/NLO999/result_WR1500_N1400_NLO/WRtoNLtoLLJJ_WR1500_N1400_NLO.log,0.02286,2e-05,1.2417164584464964
../../../submit_files/condorfiles/LO999/result_WR2000_N100/WRtoNLtoLLJJ_WR2000_N100.log,0.1549,0.00165,../../submit_files/condorfiles/NLO999/result_WR2000_N100_NLO/WRtoNLtoLLJJ_WR2000_N100_NLO.log,0.1927,0.00017,1.2440284054228534
../../../submit_files/condorfiles/LO999/result_WR2000_N200/WRtoNLtoLLJJ_WR2000_N200.log,0.1511,0.002416,../../submit_files/condorfiles/NLO999/result_WR2000_N200_NLO/WRtoNLtoLLJJ_WR2000_N200_NLO.log,0.1888,0.00017,1.2495036399735273
../../../submit_files/condorfiles/LO999/result_WR2000_N300/WRtoNLtoLLJJ_WR2000_N300.log,0.1497,0.002318,../../submit_files/condorfiles/NLO999/result_WR2000_N300_NLO/WRtoNLtoLLJJ_WR2000_N300_NLO.log,0.1843,0.0002,1.231128924515698
../../../submit_files/condorfiles/LO999/result_WR2000_N400/WRtoNLtoLLJJ_WR2000_N400.log,0.1448,0.002246,../../submit_files/condorfiles/NLO999/result_WR2000_N400_NLO/WRtoNLtoLLJJ_WR2000_N400_NLO.log,0.1782,0.00017,1.2306629834254141
../../../submit_files/condorfiles/LO999/result_WR2000_N500/WRtoNLtoLLJJ_WR2000_N500.log,0.1386,0.002067,../../submit_files/condorfiles/NLO999/result_WR2000_N500_NLO/WRtoNLtoLLJJ_WR2000_N500_NLO.log,0.1711,0.00017,1.2344877344877345
../../../submit_files/condorfiles/LO999/result_WR2000_N600/WRtoNLtoLLJJ_WR2000_N600.log,0.1286,0.001327,../../submit_files/condorfiles/NLO999/result_WR2000_N600_NLO/WRtoNLtoLLJJ_WR2000_N600_NLO.log,0.1629,0.00015,1.2667185069984448
../../../submit_files/condorfiles/LO999/result_WR2000_N700/WRtoNLtoLLJJ_WR2000_N700.log,0.1195,0.001125,../../submit_files/condorfiles/NLO999/result_WR2000_N700_NLO/WRtoNLtoLLJJ_WR2000_N700_NLO.log,0.1537,0.00014,1.286192468619247
../../../submit_files/condorfiles/LO999/result_WR2000_N800/WRtoNLtoLLJJ_WR2000_N800.log,0.1139,0.001518,../../submit_files/condorfiles/NLO999/result_WR2000_N800_NLO/WRtoNLtoLLJJ_WR2000_N800_NLO.log,0.1432,0.00014,1.257243195785777
../../../submit_files/condorfiles/LO999/result_WR2000_N900/WRtoNLtoLLJJ_WR2000_N900.log,0.1046,0.001349,../../submit_files/condorfiles/NLO999/result_WR2000_N900_NLO/WRtoNLtoLLJJ_WR2000_N900_NLO.log,0.1316,0.00012,1.2581261950286806
../../../submit_files/condorfiles/LO999/result_WR2000_N1000/WRtoNLtoLLJJ_WR2000_N1000.log,0.09359,0.0008294,../../submit_files/condorfiles/NLO999/result_WR2000_N1000_NLO/WRtoNLtoLLJJ_WR2000_N1000_NLO.log,0.1188,0.00011,1.2693663852975745
../../../submit_files/condorfiles/LO999/result_WR2000_N1100/WRtoNLtoLLJJ_WR2000_N1100.log,0.08239,0.0007411,../../submit_files/condorfiles/NLO999/result_WR2000_N1100_NLO/WRtoNLtoLLJJ_WR2000_N1100_NLO.log,0.1053,8.8e-05,1.2780677266658576
../../../submit_files/condorfiles/LO999/result_WR2000_N1200/WRtoNLtoLLJJ_WR2000_N1200.log,0.07109,0.0008059,../../submit_files/condorfiles/NLO999/result_WR2000_N1200_NLO/WRtoNLtoLLJJ_WR2000_N1200_NLO.log,0.09106,7.8e-05,1.2809115206076804
../../../submit_files/condorfiles/LO999/result_WR2000_N1300/WRtoNLtoLLJJ_WR2000_N1300.log,0.05984,0.0007208,../../submit_files/condorfiles/NLO999/result_WR2000_N1300_NLO/WRtoNLtoLLJJ_WR2000_N1300_NLO.log,0.07625,6.7e-05,1.2742312834224598
../../../submit_files/condorfiles/LO999/result_WR2000_N1400/WRtoNLtoLLJJ_WR2000_N1400.log,0.04801,0.0003778,../../submit_files/condorfiles/NLO999/result_WR2000_N1400_NLO/WRtoNLtoLLJJ_WR2000_N1400_NLO.log,0.06133,5.6e-05,1.2774421995417622
../../../submit_files/condorfiles/LO999/result_WR2000_N1500/WRtoNLtoLLJJ_WR2000_N1500.log,0.03647,0.0002644,../../submit_files/condorfiles/NLO999/result_WR2000_N1500_NLO/WRtoNLtoLLJJ_WR2000_N1500_NLO.log,0.04662,4.3e-05,1.2783109404990403
../../../submit_files/condorfiles/LO999/result_WR2000_N1600/WRtoNLtoLLJJ_WR2000_N1600.log,0.02562,0.0002628,../../submit_files/condorfiles/NLO999/result_WR2000_N1600_NLO/WRtoNLtoLLJJ_WR2000_N1600_NLO.log,0.03271,2.8e-05,1.276736924277908
../../../submit_files/condorfiles/LO999/result_WR2000_N1700/WRtoNLtoLLJJ_WR2000_N1700.log,0.01585,9.866e-05,../../submit_files/condorfiles/NLO999/result_WR2000_N1700_NLO/WRtoNLtoLLJJ_WR2000_N1700_NLO.log,0.02035,1.7e-05,1.2839116719242902
../../../submit_files/condorfiles/LO999/result_WR2000_N1800/WRtoNLtoLLJJ_WR2000_N1800.log,0.008066,5.079e-05,../../submit_files/condorfiles/NLO999/result_WR2000_N1800_NLO/WRtoNLtoLLJJ_WR2000_N1800_NLO.log,0.01029,8.9e-06,1.2757252665509546
../../../submit_files/condorfiles/LO999/result_WR2000_N1900/WRtoNLtoLLJJ_WR2000_N1900.log,0.002704,2.797e-05,../../submit_files/condorfiles/NLO999/result_WR2000_N1900_NLO/WRtoNLtoLLJJ_WR2000_N1900_NLO.log,0.003504,3.3e-06,1.2958579881656807
../../../submit_files/condorfiles/LO999/result_WR2500_N100/WRtoNLtoLLJJ_WR2500_N100.log,0.04534,0.000883,../../submit_files/condorfiles/NLO999/result_WR2500_N100_NLO/WRtoNLtoLLJJ_WR2500_N100_NLO.log,0.05689,5.9e-05,1.2547419497132777
../../../submit_files/condorfiles/LO999/result_WR2500_N200/WRtoNLtoLLJJ_WR2500_N200.log,0.04326,0.0004609,../../submit_files/condorfiles/NLO999/result_WR2500_N200_NLO/WRtoNLtoLLJJ_WR2500_N200_NLO.log,0.05565,6.2e-05,1.2864077669902911
../../../submit_files/condorfiles/LO999/result_WR2500_N300/WRtoNLtoLLJJ_WR2500_N300.log,0.04349,0.0007172,../../submit_files/condorfiles/NLO999/result_WR2500_N300_NLO/WRtoNLtoLLJJ_WR2500_N300_NLO.log,0.05442,5.2e-05,1.2513221430213843
../../../submit_files/condorfiles/LO999/result_WR2500_N400/WRtoNLtoLLJJ_WR2500_N400.log,0.04228,0.0006771,../../submit_files/condorfiles/NLO999/result_WR2500_N400_NLO/WRtoNLtoLLJJ_WR2500_N400_NLO.log,0.05306,5.1e-05,1.2549668874172186
../../../submit_files/condorfiles/LO999/result_WR2500_N500/WRtoNLtoLLJJ_WR2500_N500.log,0.0408,0.0006634,../../submit_files/condorfiles/NLO999/result_WR2500_N500_NLO/WRtoNLtoLLJJ_WR2500_N500_NLO.log,0.05152,4.4e-05,1.2627450980392156
../../../submit_files/condorfiles/LO999/result_WR2500_N600/WRtoNLtoLLJJ_WR2500_N600.log,0.03928,0.0006085,../../submit_files/condorfiles/NLO999/result_WR2500_N600_NLO/WRtoNLtoLLJJ_WR2500_N600_NLO.log,0.04988,5.1e-05,1.269857433808554
../../../submit_files/condorfiles/LO999/result_WR2500_N700/WRtoNLtoLLJJ_WR2500_N700.log,0.03772,0.000579,../../submit_files/condorfiles/NLO999/result_WR2500_N700_NLO/WRtoNLtoLLJJ_WR2500_N700_NLO.log,0.04797,4.7e-05,1.2717391304347827
../../../submit_files/condorfiles/LO999/result_WR2500_N800/WRtoNLtoLLJJ_WR2500_N800.log,0.03545,0.0003227,../../submit_files/condorfiles/NLO999/result_WR2500_N800_NLO/WRtoNLtoLLJJ_WR2500_N800_NLO.log,0.04582,4.4e-05,1.292524682651622
../../../submit_files/condorfiles/LO999/result_WR2500_N900/WRtoNLtoLLJJ_WR2500_N900.log,0.03423,0.0004718,../../submit_files/condorfiles/NLO999/result_WR2500_N900_NLO/WRtoNLtoLLJJ_WR2500_N900_NLO.log,0.04349,4e-05,1.2705229330996204
../../../submit_files/condorfiles/LO999/result_WR2500_N1000/WRtoNLtoLLJJ_WR2500_N1000.log,0.03157,0.0004178,../../submit_files/condorfiles/NLO999/result_WR2500_N1000_NLO/WRtoNLtoLLJJ_WR2500_N1000_NLO.log,0.04094,3.9e-05,1.2968007602153941
../../../submit_files/condorfiles/LO999/result_WR2500_N1100/WRtoNLtoLLJJ_WR2500_N1100.log,0.02952,0.0003814,../../submit_files/condorfiles/NLO999/result_WR2500_N1100_NLO/WRtoNLtoLLJJ_WR2500_N1100_NLO.log,0.03827,3.7e-05,1.2964092140921408
../../../submit_files/condorfiles/LO999/result_WR2500_N1200/WRtoNLtoLLJJ_WR2500_N1200.log,0.02688,0.0002952,../../submit_files/condorfiles/NLO999/result_WR2500_N1200_NLO/WRtoNLtoLLJJ_WR2500_N1200_NLO.log,0.03538,3.4e-05,1.3162202380952381
../../../submit_files/condorfiles/LO999/result_WR2500_N1300/WRtoNLtoLLJJ_WR2500_N1300.log,0.02461,0.0001881,../../submit_files/condorfiles/NLO999/result_WR2500_N1300_NLO/WRtoNLtoLLJJ_WR2500_N1300_NLO.log,0.03236,3e-05,1.3149126371393742
../../../submit_files/condorfiles/LO999/result_WR2500_N1400/WRtoNLtoLLJJ_WR2500_N1400.log,0.0224,0.0001675,../../submit_files/condorfiles/NLO999/result_WR2500_N1400_NLO/WRtoNLtoLLJJ_WR2500_N1400_NLO.log,0.02915,2.6e-05,1.3013392857142856
../../../submit_files/condorfiles/LO999/result_WR2500_N1500/WRtoNLtoLLJJ_WR2500_N1500.log,0.01974,0.0002291,../../submit_files/condorfiles/NLO999/result_WR2500_N1500_NLO/WRtoNLtoLLJJ_WR2500_N1500_NLO.log,0.02586,2.4e-05,1.3100303951367782
../../../submit_files/condorfiles/LO999/result_WR2500_N1600/WRtoNLtoLLJJ_WR2500_N1600.log,0.01716,0.0001874,../../submit_files/condorfiles/NLO999/result_WR2500_N1600_NLO/WRtoNLtoLLJJ_WR2500_N1600_NLO.log,0.02249,2.1e-05,1.3106060606060606
../../../submit_files/condorfiles/LO999/result_WR2500_N1700/WRtoNLtoLLJJ_WR2500_N1700.log,0.01463,9.546e-05,../../submit_files/condorfiles/NLO999/result_WR2500_N1700_NLO/WRtoNLtoLLJJ_WR2500_N1700_NLO.log,0.01906,1.7e-05,1.3028024606971975
../../../submit_files/condorfiles/LO999/result_WR2500_N1800/WRtoNLtoLLJJ_WR2500_N1800.log,0.01204,7.232e-05,../../submit_files/condorfiles/NLO999/result_WR2500_N1800_NLO/WRtoNLtoLLJJ_WR2500_N1800_NLO.log,0.01566,1.4e-05,1.3006644518272426
../../../submit_files/condorfiles/LO999/result_WR2500_N1900/WRtoNLtoLLJJ_WR2500_N1900.log,0.009569,0.0001019,../../submit_files/condorfiles/NLO999/result_WR2500_N1900_NLO/WRtoNLtoLLJJ_WR2500_N1900_NLO.log,0.01236,1.1e-05,1.2916710210053297
../../../submit_files/condorfiles/LO999/result_WR2500_N2000/WRtoNLtoLLJJ_WR2500_N2000.log,0.007088,7.234e-05,../../submit_files/condorfiles/NLO999/result_WR2500_N2000_NLO/WRtoNLtoLLJJ_WR2500_N2000_NLO.log,0.009227,8.8e-06,1.3017776523702034
../../../submit_files/condorfiles/LO999/result_WR2500_N2100/WRtoNLtoLLJJ_WR2500_N2100.log,0.004899,3.109e-05,../../submit_files/condorfiles/NLO999/result_WR2500_N2100_NLO/WRtoNLtoLLJJ_WR2500_N2100_NLO.log,0.00637,5.8e-06,1.3002653602776078
../../../submit_files/condorfiles/LO999/result_WR2500_N2200/WRtoNLtoLLJJ_WR2500_N2200.log,0.00298,1.824e-05,../../submit_files/condorfiles/NLO999/result_WR2500_N2200_NLO/WRtoNLtoLLJJ_WR2500_N2200_NLO.log,0.003909,3.7e-06,1.311744966442953
../../../submit_files/condorfiles/LO999/result_WR2500_N2300/WRtoNLtoLLJJ_WR2500_N2300.log,0.001495,1.437e-05,../../submit_files/condorfiles/NLO999/result_WR2500_N2300_NLO/WRtoNLtoLLJJ_WR2500_N2300_NLO.log,0.00198,1.8e-06,1.3244147157190636
../../../submit_files/condorfiles/LO999/result_WR2500_N2400/WRtoNLtoLLJJ_WR2500_N2400.log,0.0005387,5.608e-06,../../submit_files/condorfiles/NLO999/result_WR2500_N2400_NLO/WRtoNLtoLLJJ_WR2500_N2400_NLO.log,0.0007055,6e-07,1.3096343048078707
../../../submit_files/condorfiles/LO999/result_WR3000_N100/WRtoNLtoLLJJ_WR3000_N100.log,0.01484,0.0003315,../../submit_files/condorfiles/NLO999/result_WR3000_N100_NLO/WRtoNLtoLLJJ_WR3000_N100_NLO.log,0.01869,2.1e-05,1.2594339622641508
../../../submit_files/condorfiles/LO999/result_WR3000_N200/WRtoNLtoLLJJ_WR3000_N200.log,0.01381,9.849e-05,../../submit_files/condorfiles/NLO999/result_WR3000_N200_NLO/WRtoNLtoLLJJ_WR3000_N200_NLO.log,0.01828,1.8e-05,1.3236784938450399
../../../submit_files/condorfiles/LO999/result_WR3000_N300/WRtoNLtoLLJJ_WR3000_N300.log,0.0136,9.383e-05,../../submit_files/condorfiles/NLO999/result_WR3000_N300_NLO/WRtoNLtoLLJJ_WR3000_N300_NLO.log,0.01782,1.8e-05,1.3102941176470588
../../../submit_files/condorfiles/LO999/result_WR3000_N400/WRtoNLtoLLJJ_WR3000_N400.log,0.01326,0.0001562,../../submit_files/condorfiles/NLO999/result_WR3000_N400_NLO/WRtoNLtoLLJJ_WR3000_N400_NLO.log,0.01736,1.8e-05,1.3092006033182504
../../../submit_files/condorfiles/LO999/result_WR3000_N500/WRtoNLtoLLJJ_WR3000_N500.log,0.01286,9.257e-05,../../submit_files/condorfiles/NLO999/result_WR3000_N500_NLO/WRtoNLtoLLJJ_WR3000_N500_NLO.log,0.01688,1.6e-05,1.3125972006220838
../../../submit_files/condorfiles/LO999/result_WR3000_N600/WRtoNLtoLLJJ_WR3000_N600.log,0.01245,8.224e-05,../../submit_files/condorfiles/NLO999/result_WR3000_N600_NLO/WRtoNLtoLLJJ_WR3000_N600_NLO.log,0.01642,1.6e-05,1.3188755020080323
../../../submit_files/condorfiles/LO999/result_WR3000_N700/WRtoNLtoLLJJ_WR3000_N700.log,0.01236,0.0002072,../../submit_files/condorfiles/NLO999/result_WR3000_N700_NLO/WRtoNLtoLLJJ_WR3000_N700_NLO.log,0.01591,1.3e-05,1.2872168284789645
../../../submit_files/condorfiles/LO999/result_WR3000_N800/WRtoNLtoLLJJ_WR3000_N800.log,0.01185,0.0001863,../../submit_files/condorfiles/NLO999/result_WR3000_N800_NLO/WRtoNLtoLLJJ_WR3000_N800_NLO.log,0.01537,1.4e-05,1.2970464135021098
../../../submit_files/condorfiles/LO999/result_WR3000_N900/WRtoNLtoLLJJ_WR3000_N900.log,0.01137,0.0001699,../../submit_files/condorfiles/NLO999/result_WR3000_N900_NLO/WRtoNLtoLLJJ_WR3000_N900_NLO.log,0.01481,1.2e-05,1.3025505716798593
../../../submit_files/condorfiles/LO999/result_WR3000_N1000/WRtoNLtoLLJJ_WR3000_N1000.log,0.0108,0.0001199,../../submit_files/condorfiles/NLO999/result_WR3000_N1000_NLO/WRtoNLtoLLJJ_WR3000_N1000_NLO.log,0.01418,1.4e-05,1.3129629629629629
