WR,N,LO_CrossSection,NLO_CrossSection
4500,2400,0.0003321,0.0004563
4500,2500,0.0003138,0.0004289
4500,2600,0.0002909,0.000401
4500,2700,0.0002708,0.0003732
4500,2800,0.0002517,0.0003451
4500,2900,0.0002312,0.0003172
4500,3000,0.0002133,0.0002889
4500,3100,0.000193,0.0002611
4500,3200,0.0001718,0.0002335
4500,3300,0.000152,0.0002065
4500,3400,0.0001329,0.0001798
4500,3500,0.0001137,0.0001541
4500,3600,9.538e-05,0.0001294
4500,3700,7.831e-05,0.0001063
4500,3800,6.196e-05,8.464e-05
4500,3900,4.771e-05,6.484e-05
4500,4000,3.497e-05,4.722e-05
4500,4100,2.375e-05,3.216e-05
4500,4200,1.474e-05,1.988e-05
4500,4300,7.873e-06,1.067e-05
4500,4400,3.541e-06,4.767e-06
5000,100,0.0004937,0.0006336
5000,200,0.0004518,0.0005846
5000,300,0.0004138,0.0005456
5000,400,0.0003859,0.0005126
5000,500,0.000363,0.0004841
5000,600,0.0003435,0.0004602
5000,700,0.0003266,0.0004396
5000,800,0.0003113,0.0004204
5000,900,0.0002993,0.0004036
5000,1000,0.0002869,0.0003876
5000,1100,0.0002771,0.0003733
5000,1200,0.0002666,0.0003596
5000,1300,0.000254,0.0003477
5000,1400,0.0002452,0.0003354
5000,1500,0.0002349,0.0003237
5000,1600,0.0002291,0.0003125
5000,1700,0.0002174,0.0003017
5000,1800,0.000214,0.0002907
5000,1900,0.0002057,0.0002801
5000,2000,0.0001995,0.0002697
5000,2100,0.0001902,0.0002588
5000,2200,0.0001797,0.0002484
5000,2300,0.0001735,0.0002376
5000,2400,0.0001659,0.0002273
5000,2500,0.0001587,0.0002163
5000,2600,0.00015,0.0002056
5000,2700,0.0001425,0.0001949
5000,2800,0.0001336,0.0001841
5000,2900,0.0001263,0.0001731
5000,3000,0.0001175,0.0001622
5000,3100,0.0001099,0.0001512
5000,3200,0.0001019,0.0001402
5000,3300,9.49e-05,0.0001291
5000,3400,8.684e-05,0.0001182
5000,3500,7.888e-05,0.0001074
5000,3600,7.105e-05,9.671e-05
5000,3700,6.336e-05,8.617e-05
5000,3800,5.585e-05,7.588e-05
5000,3900,4.862e-05,6.585e-05
5000,4000,4.15e-05,5.633e-05
5000,4100,3.473e-05,4.721e-05
5000,4200,2.833e-05,3.861e-05
5000,4300,2.27e-05,3.069e-05
5000,4400,1.734e-05,2.352e-05
5000,4500,1.27e-05,1.715e-05
5000,4600,8.59e-06,1.172e-05
5000,4700,5.356e-06,7.316e-06
5000,4800,2.946e-06,4.013e-06
5000,4900,1.401e-06,1.898e-06
5500,100,0.0002823,0.0003613
5500,200,0.0002537,0.0003285
5500,300,0.0002306,0.0003015
5500,400,0.0002111,0.0002793
5500,500,0.0001961,0.0002613
5500,600,0.0001837,0.0002457
5500,700,0.0001723,0.000232
5500,800,0.000163,0.0002204
5500,900,0.0001546,0.0002099
5500,1000,0.0001473,0.0002005
5500,1100,0.0001411,0.0001921
5500,1200,0.0001365,0.0001846
5500,1300,0.0001306,0.0001777
5500,1400,0.0001251,0.0001715
5500,1500,0.0001205,0.0001652
5500,1600,0.0001163,0.0001596
5500,1700,0.0001117,0.0001542
5500,1800,0.000108,0.0001491
5500,1900,0.0001049,0.000144
5500,2000,0.0001024,0.0001391
5500,2100,9.808e-05,0.0001341
5500,2200,9.52e-05,0.0001296
5500,2300,9.056e-05,0.0001248
5500,2400,8.625e-05,0.0001201
5500,2500,8.389e-05,0.0001154
5500,2600,8.034e-05,0.0001108
5500,2700,7.704e-05,0.0001061
5500,2800,7.384e-05,0.0001014
5500,2900,7.008e-05,9.665e-05
5500,3000,6.666e-05,9.195e-05
5500,3100,6.352e-05,8.729e-05
5500,3200,5.973e-05,8.248e-05
5500,3300,5.628e-05,7.773e-05
5500,3400,5.279e-05,7.29e-05
5500,3500,4.955e-05,6.81e-05
5500,3600,4.634e-05,6.328e-05
5500,3700,4.307e-05,5.855e-05
5500,3800,3.918e-05,5.383e-05
5500,3900,3.592e-05,4.912e-05
5500,4000,3.252e-05,4.445e-05
5500,4100,2.921e-05,3.993e-05
5500,4200,2.595e-05,3.544e-05
5500,4300,2.278e-05,3.114e-05
5500,4400,1.975e-05,2.699e-05
5500,4500,1.682e-05,2.3e-05
5500,4600,1.413e-05,1.923e-05
5500,4700,1.143e-05,1.569e-05
5500,4800,9.109e-06,1.247e-05
5500,4900,6.994e-06,9.543e-06
5500,5000,5.095e-06,6.968e-06
5500,5100,3.505e-06,4.766e-06
5500,5200,2.174e-06,3.002e-06
5500,5300,1.225e-06,1.682e-06
5500,5400,5.918e-07,8.258e-07
6000,100,0.0001742,0.0002216
6000,200,0.0001534,0.0001983
6000,300,0.0001374,0.0001797
6000,400,0.0001244,0.000164
6000,500,0.0001141,0.0001512
6000,600,0.0001051,0.0001408
6000,700,9.806e-05,0.0001315
6000,800,9.159e-05,0.0001238
6000,900,8.598e-05,0.0001171
6000,1000,8.119e-05,0.0001112
6000,1100,7.7e-05,0.0001059
6000,1200,7.355e-05,0.0001011
6000,1300,7.04e-05,9.677e-05
6000,1400,6.781e-05,9.319e-05
6000,1500,6.518e-05,8.971e-05
6000,1600,6.271e-05,8.647e-05
6000,1700,6.044e-05,8.337e-05
6000,1800,5.827e-05,8.059e-05
6000,1900,5.566e-05,7.794e-05
6000,2000,5.377e-05,7.532e-05
6000,2100,5.21e-05,7.287e-05
6000,2200,5.079e-05,7.055e-05
6000,2300,4.943e-05,6.825e-05
6000,2400,4.753e-05,6.596e-05
6000,2500,4.559e-05,6.378e-05
6000,2600,4.406e-05,6.15e-05
6000,2700,4.251e-05,5.93e-05
6000,2800,4.11e-05,5.717e-05
6000,2900,3.932e-05,5.503e-05
6000,3000,3.774e-05,5.283e-05
6000,3100,3.626e-05,5.058e-05
6000,3200,3.443e-05,4.842e-05
6000,3300,3.297e-05,4.622e-05
6000,3400,3.135e-05,4.396e-05
6000,3500,2.996e-05,4.177e-05
6000,3600,2.826e-05,3.956e-05
6000,3700,2.659e-05,3.731e-05
6000,3800,2.512e-05,3.508e-05
6000,3900,2.373e-05,3.287e-05
6000,4000,2.214e-05,3.06e-05
6000,4100,2.055e-05,2.839e-05
6000,4200,1.889e-05,2.616e-05
6000,4300,1.735e-05,2.398e-05
6000,4400,1.579e-05,2.183e-05
6000,4500,1.427e-05,1.973e-05
6000,4600,1.281e-05,1.766e-05
6000,4700,1.132e-05,1.567e-05
6000,4800,9.911e-06,1.372e-05
6000,4900,8.586e-06,1.186e-05
6000,5000,7.292e-06,1.009e-05
6000,5100,6.058e-06,8.407e-06
6000,5200,4.974e-06,6.85e-06
6000,5300,3.917e-06,5.428e-06
6000,5400,3.01e-06,4.145e-06
6000,5500,2.17e-06,3.023e-06
6000,5600,1.506e-06,2.076e-06
6000,5700,9.491e-07,1.311e-06
6000,5800,5.324e-07,7.43e-07
6000,5900,2.674e-07,3.751e-07
6500,100,0.0001129,0.0001428
6500,200,9.765e-05,0.0001258
6500,300,8.618e-05,0.000112
6500,400,7.685e-05,0.0001013
6500,500,6.931e-05,9.212e-05
6500,600,6.308e-05,8.455e-05
6500,700,5.79e-05,7.814e-05
6500,800,5.35e-05,7.286e-05
6500,900,4.978e-05,6.814e-05
6500,1000,4.66e-05,6.408e-05
6500,1100,4.375e-05,6.061e-05
6500,1200,4.147e-05,5.745e-05
6500,1300,3.932e-05,5.472e-05
6500,1400,3.748e-05,5.227e-05
6500,1500,3.591e-05,5.013e-05
6500,1600,3.437e-05,4.81e-05
6500,1700,3.325e-05,4.63e-05
6500,1800,3.194e-05,4.465e-05
6500,1900,3.058e-05,4.316e-05
6500,2000,2.957e-05,4.171e-05
6500,2100,2.869e-05,4.031e-05
6500,2200,2.753e-05,3.903e-05
6500,2300,2.677e-05,3.785e-05
6500,2400,2.581e-05,3.664e-05
6500,2500,2.506e-05,3.547e-05
6500,2600,2.424e-05,3.434e-05
6500,2700,2.358e-05,3.328e-05
6500,2800,2.266e-05,3.221e-05
6500,2900,2.176e-05,3.113e-05
6500,3000,2.118e-05,3.009e-05
6500,3100,2.038e-05,2.9e-05
6500,3200,1.961e-05,2.792e-05
6500,3300,1.894e-05,2.688e-05
6500,3400,1.8e-05,2.585e-05
6500,3500,1.736e-05,2.478e-05
6500,3600,1.66e-05,2.37e-05
6500,3700,1.581e-05,2.264e-05
6500,3800,1.508e-05,2.154e-05
6500,3900,1.439e-05,2.049e-05
6500,4000,1.364e-05,1.941e-05
6500,4100,1.287e-05,1.834e-05
6500,4200,1.209e-05,1.727e-05
6500,4300,1.144e-05,1.618e-05
6500,4400,1.069e-05,1.511e-05
6500,4500,9.936e-06,1.404e-05
6500,4600,9.195e-06,1.3e-05
6500,4700,8.456e-06,1.196e-05
6500,4800,7.736e-06,1.093e-05
6500,4900,7.025e-06,9.922e-06
6500,5000,6.342e-06,8.945e-06
6500,5100,5.661e-06,7.982e-06
6500,5200,5.013e-06,7.055e-06
6500,5300,4.355e-06,6.164e-06
6500,5400,3.754e-06,5.319e-06
6500,5500,3.163e-06,4.513e-06
6500,5600,2.662e-06,3.76e-06
6500,5700,2.166e-06,3.056e-06
6500,5800,1.708e-06,2.415e-06
6500,5900,1.3e-06,1.842e-06
6500,6000,9.445e-07,1.342e-06
6500,6100,6.504e-07,9.212e-07
6500,6200,4.1e-07,5.837e-07
6500,6300,2.326e-07,3.329e-07
6500,6400,1.174e-07,1.702e-07
