WR,N,LO_crosssection,LO_scale,LO_pdf,NLO_crosssection,NLO_scale,NLO_pdf
6000,2500,2.7171800000008104e-05,+13% / -10.8%,+105% / -105%,,,
6000,2600,2.6397199999998667e-05,+13% / -10.8%,+106% / -106%,,,
6000,2700,2.547329999999759e-05,+13% / -10.8%,+107% / -107%,,,
6000,2800,2.462595000000886e-05,+13% / -10.9%,+107% / -107%,,,
6000,2900,2.369466000000598e-05,+13% / -10.8%,+108% / -108%,,,
6000,3000,2.2839190000004837e-05,+13% / -10.9%,+107% / -107%,,,
6000,3100,2.1954750000007432e-05,+13% / -10.9%,+109% / -109%,,,
6000,3200,2.1086810000010713e-05,+13% / -10.9%,+110% / -110%,,,
6000,3300,2.016792999999305e-05,+13.1% / -10.9%,+109% / -109%,,,
6000,3400,1.9320420000002233e-05,+13.1% / -10.9%,+109% / -109%,,,
6000,3500,1.8426650000000617e-05,+13% / -10.9%,+109% / -109%,,,
6000,3600,1.7502379999999823e-05,+13.1% / -10.9%,+108% / -108%,,,
6000,3700,1.6569979999994532e-05,+13.1% / -10.9%,+109% / -109%,,,
6000,3800,1.5587650000002385e-05,+13.1% / -10.9%,+109% / -109%,,,
6000,3900,1.470157000000588e-05,+13.1% / -10.9%,+110% / -110%,,,
6000,4000,1.3720370000005803e-05,+13.1% / -10.9%,+111% / -111%,,,
6000,4100,1.2770990000003793e-05,+13.1% / -10.9%,+110% / -110%,,,
6000,4200,1.1814259999996116e-05,+13.1% / -10.9%,+111% / -111%,,,
6000,4300,1.0873119999997038e-05,+13.1% / -10.9%,+111% / -111%,,,
6000,4400,9.912650999998662e-06,+13.1% / -10.9%,+111% / -111%,,,
6000,4500,8.986977000002476e-06,+13.1% / -10.9%,+111% / -111%,,,
6000,4600,8.069071999998374e-06,+13.1% / -10.9%,+112% / -112%,,,
6000,4700,7.1713599999974515e-06,+13.2% / -11%,+111% / -111%,,,
6000,4800,6.308033999999566e-06,+13.1% / -10.9%,+111% / -111%,,,
6000,4900,5.473379999998446e-06,+13.1% / -10.9%,+111% / -111%,,,
6000,5000,4.671184999999359e-06,+13.2% / -11%,+113% / -113%,,,
6000,5100,3.907609999999289e-06,+13.2% / -11%,+112% / -112%,,,
6000,5200,3.187061000001495e-06,+13.2% / -11%,+111% / -111%,,,
6000,5300,2.5284446000008875e-06,+13.2% / -11%,+111% / -111%,,,
6000,5400,1.936056860000504e-06,+13.3% / -11.1%,+113% / -113%,,,
6000,5500,1.409350880000017e-06,+13.3% / -11.1%,+113% / -113%,,,
6000,5600,9.72077879999863e-07,+13.3% / -11.1%,+111% / -111%,,,
6000,5700,6.123265000000184e-07,+13.4% / -11.2%,+113% / -113%,,,
6000,5800,3.458538000000598e-07,+13.6% / -11.3%,+116% / -116%,,,
6000,5900,1.7261589999995484e-07,+13.9% / -11.5%,+117% / -117%,,,
6500,100,0,,,,,
6500,200,4.155700000001752e-08,+7.14% / -6.18%,+34.1% / -34.1%,,,
6500,300,2.2672600000010216e-06,+8.15% / -7.01%,+41.3% / -41.3%,,,
6500,400,9.561760000004358e-06,+8.85% / -7.58%,+43.5% / -43.5%,,,
6500,500,1.3518679999999956e-05,+9.6% / -8.18%,+48.4% / -48.4%,,,
6500,600,1.4793919999997288e-05,+10.2% / -8.63%,+53.9% / -53.9%,,,
6500,700,8.751160000001524e-06,+10.6% / -9.01%,+60.2% / -60.2%,,,
6500,800,1.4750859999994998e-05,+11.1% / -9.37%,+63.5% / -63.5%,,,
6500,900,2.556310000001265e-05,+11.4% / -9.62%,+67.5% / -67.5%,,,
6500,1000,2.467170000000551e-05,+11.7% / -9.87%,+70.8% / -70.8%,,,
6500,1100,2.3752599999993678e-05,+12% / -10.1%,+76% / -76%,,,
6500,1200,2.285600000000214e-05,+12.3% / -10.3%,+78.9% / -78.9%,,,
6500,1300,2.194740000000376e-05,+12.5% / -10.5%,+83.6% / -83.6%,,,
6500,1400,2.109579999999582e-05,+12.7% / -10.6%,+86.7% / -86.7%,,,
6500,1500,2.0392400000001818e-05,+12.9% / -10.7%,+89% / -89%,,,
6500,1600,1.9651500000002182e-05,+13% / -10.8%,+93.3% / -93.3%,,,
6500,1700,1.9006300000005632e-05,+13.1% / -10.9%,+93.4% / -93.4%,,,
6500,1800,1.8357799999996187e-05,+13.3% / -11%,+98.7% / -98.7%,,,
6500,1900,1.781079999999906e-05,+13.3% / -11.1%,+102% / -102%,,,
6500,2000,1.7263000000000438e-05,+13.4% / -11.1%,+102% / -102%,,,
6500,2100,1.6729100000006518e-05,+13.5% / -11.2%,+104% / -104%,,,
6500,2200,1.6226899999993565e-05,+13.5% / -11.2%,+106% / -106%,,,
6500,2300,1.575539999999678e-05,+13.6% / -11.3%,+108% / -108%,,,
6500,2400,1.5266300000001403e-05,+13.6% / -11.3%,+110% / -110%,,,
6500,2500,1.4857089999996771e-05,+13.6% / -11.3%,+111% / -111%,,,
6500,2600,1.443623000000231e-05,+13.7% / -11.3%,+113% / -113%,,,
6500,2700,1.3999569999996046e-05,+13.7% / -11.4%,+113% / -113%,,,
6500,2800,1.3570759999995983e-05,+13.7% / -11.4%,+115% / -115%,,,
6500,2900,1.3130080000001677e-05,+13.7% / -11.4%,+113% / -113%,,,
6500,3000,1.2707839999995148e-05,+13.7% / -11.4%,+115% / -115%,,,
6500,3100,1.2285550000003017e-05,+13.8% / -11.4%,+115% / -115%,,,
6500,3200,1.1871019999995223e-05,+13.8% / -11.4%,+115% / -115%,,,
6500,3300,1.1464459999994405e-05,+13.8% / -11.4%,+115% / -115%,,,
6500,3400,1.1043410000001763e-05,+13.8% / -11.5%,+116% / -116%,,,
6500,3500,1.0610040000002295e-05,+13.8% / -11.5%,+116% / -116%,,,
6500,3600,1.0215650000002906e-05,+13.8% / -11.5%,+117% / -117%,,,
6500,3700,9.793939999995564e-06,+13.8% / -11.5%,+116% / -116%,,,
6500,3800,9.359290000000345e-06,+13.8% / -11.5%,+117% / -117%,,,
6500,3900,8.916179999996522e-06,+13.9% / -11.5%,+117% / -117%,,,
6500,4000,8.47156999999921e-06,+13.8% / -11.5%,+117% / -117%,,,
6500,4100,8.01062999999822e-06,+13.9% / -11.5%,+117% / -117%,,,
6500,4200,7.567140000002717e-06,+13.9% / -11.5%,+118% / -118%,,,
6500,4300,7.119450000001993e-06,+13.9% / -11.5%,+117% / -117%,,,
6500,4400,6.6760649999971536e-06,+13.9% / -11.5%,+118% / -118%,,,
6500,4500,6.2189030000008095e-06,+13.9% / -11.5%,+119% / -119%,,,
6500,4600,5.761004000000411e-06,+13.9% / -11.5%,+118% / -118%,,,
6500,4700,5.32931900000233e-06,+13.9% / -11.5%,+118% / -118%,,,
6500,4800,4.876077000000657e-06,+13.9% / -11.5%,+117% / -117%,,,
6500,4900,4.441627999998459e-06,+13.9% / -11.5%,+119% / -119%,,,
6500,5000,4.012595999998354e-06,+14% / -11.6%,+118% / -118%,,,
6500,5100,3.5959389999993293e-06,+14% / -11.6%,+120% / -120%,,,
6500,5200,3.1859590000005366e-06,+14% / -11.6%,+119% / -119%,,,
6500,5300,2.786406000000466e-06,+14% / -11.6%,+119% / -119%,,,
6500,5400,2.4125180000000604e-06,+14% / -11.6%,+120% / -120%,,,
6500,5500,2.0498489999997083e-06,+14% / -11.6%,+120% / -120%,,,
6500,5600,1.7099379999997943e-06,+14% / -11.6%,+119% / -119%,,,
6500,5700,1.3866868000003839e-06,+14.1% / -11.6%,+119% / -119%,,,
6500,5800,1.0995337200000016e-06,+14.1% / -11.7%,+121% / -121%,,,
6500,5900,8.373639600001745e-07,+14.2% / -11.7%,+121% / -121%,,,
6500,6000,6.113497799998003e-07,+14.2% / -11.7%,+120% / -120%,,,
6500,6100,4.202217800001747e-07,+14.2% / -11.8%,+122% / -122%,,,
6500,6200,2.6652504000004627e-07,+14.3% / -11.8%,+122% / -122%,,,
6500,6300,1.5128673999996946e-07,+14.5% / -12%,+123% / -123%,,,
6500,6400,7.66877999999978e-08,+14.8% / -12.2%,+125% / -125%,,,
